ὁμοίωμα N3M-NSN--- ὁμοίωμα
ὑπὲρ P--------- ὑπέρ
κεφαλῆς N1--GSF--- κεφαλή
αὐτοῖς RD--DPM--- αὐτός
τῶν RA--GPN--- ὁ
ζῴων N2N-GPN--- ζῷον
ὡσεὶ C--------- ὡσεί
στερέωμα N3M-NSN--- στερέωμα
ὡς C--------- ὡς
ὅρασις N3I-NSF--- ὅρασις
κρυστάλλου N2--GSM--- κρυστάλλος
ἐκτεταμένον VM--XPPNSN τείνω ἐκ
ἐπὶ P--------- ἐπί
τῶν RA--GPF--- ὁ
πτερύγων N3G-GPF--- πτέρυξ
αὐτῶν RD--GPN--- αὐτός
ἐπάνωθεν D--------- ἐπάνωθεν

Ezek 1:23
καὶ C--------- καί
ὑποκάτω P--------- ὑποκάτω
τοῦ RA--GSN--- ὁ
στερεώματος N3M-GSN--- στερέωμα
αἱ RA--NPF--- ὁ
πτέρυγες N3G-NPF--- πτέρυξ
αὐτῶν RD--GPN--- αὐτός
ἐκτεταμέναι VM--XMPNPF τείνω ἐκ
πτερυσσόμεναι V1--PMPNPF πτερύσσομαι
ἑτέρα A1A-NSF--- ἕτερος
τῇ RA--DSF--- ὁ
ἑτέρᾳ A1A-DSF--- ἕτερος
ἑκάστῳ A1--DSM--- ἕκαστος
δύο M--------- δύο
συνεζευγμέναι VM--XPPNPF ζεύγνυμι συν
ἐπικαλύπτουσαι V1--PAPNPF καλύπτω ἐπι
τὰ RA--APN--- ὁ
σώματα N3M-APN--- σῶμα
αὐτῶν RD--GPN--- αὐτός

Ezek 1:24
καὶ C--------- καί
ἤκουον V1I-IAI1S- ἀκούω
τὴν RA--ASF--- ὁ
φωνὴν N1--ASF--- φωνή
τῶν RA--GPF--- ὁ
πτερύγων N3G-GPF--- πτέρυξ
αὐτῶν RD--GPN--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πορεύεσθαι V1--PMN--- πορεύομαι
αὐτὰ RD--APN--- αὐτός
ὡς C--------- ὡς
φωνὴν N1--ASF--- φωνή
ὕδατος N3T-GSN--- ὕδωρ
πολλοῦ A1--GSN--- πολύς
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
